6ej9-7qyi After-School Programs   summer high_schoo site_name objectid sports_phy cbo_sp_tel shape elementary site_zip id middle_sch weekends setting site_stree site_build evenings arts_cultu school_id program_ty weekly_hou address1 address2 academics agency_nam agency_tel site_borou cbo_servic estimated_ school_yea name enrollment sp_ein  education school services geographic location map cartography after school after-school program doitt gis

n5mv-nfpy IPIS (Integrated Property Information System)   num_bld council_district juris cd boro floors rpad_description rpad jurisdiction_description councilmember_name bbl parcel_name agency owned_leased lot prop_depth bld_sqft pr_zone bld_depth parcel_address prop_sqft waterfront sd_zone primary_use_text prop_front irreg block bld_front  property finance lease agency city-owned private consumer affairs dcas administrative services ipis (integrated property information system) ipis

yts9-kmw9 NYPD Public Indicators   desired_direction mmr_indicator additive indicator_name reporting_period agency reporting_lag_time_weeks_ citywide_theme sub_indicator agency_name frequency month zero_tolerance  mayor's office of operations operations ops public safety public safety cpr crime nypd police cop cops precinct new york

fum3-ejky Privately Owned Public Spaces No_Record  zoning database public space zone incentive private dcp privately owned public spaces

99bc-9p23 Neighborhood Names GIS   objectid_1 annoline3 annoline2 annoline1 shape annoangle objectid stacked borough name  geographic location map cartography neighborhood historic scenic interest area of interest areas of interest dcp city planning neighborhood names gis

ivix-m77e Federal Stimulus Data   contract_method project_description of_funds_to_be_spent_by_interim_spending_deadine award_lead_city_agency funding_source date_funds_announced_by_nyc date_funds_awarded_by_fed_state payment_date actual_start_date contract_status contract_id project_status conttract_start_date contract_value project_lead_city_agency final_spending_deadline payment_type contract_name project_name revised_contract_end_date payment_recipient payment_description payment_id interim_spending_deadline of_funds_spent all_other_funding funding_category payment_value stimulus_tracker_id new_or_existing_contract contract_end_date estimated_start_date vendor_name stimulus_funding displaced_city_funding  operations ops federal stimulus stimulus funding stimulus money mayor's office of operations

26dn-w9sw Green Market Locations   city shape location objectid name  doitt gis geographic location map cartography business green market grocer food sale sell

tj4w-skrs Building Permits   permit_status permittee_s_first_last_name issuance_date street_name job_type community_board city_state_zip owner_s_house_street permittee_s_license borough job_start_date self_cert owner_s_business_type residential permittee_s_license_type permit_subtype owner_s_business_name lot house permittee_s_business_name zip_code bin work_type job owner_s_first_last_name job_doc site_fill filing_status bldg_type permittee_s_phone expiration_date permit_sequence permit_type filing_date owner_s_phone block  building buildings permit permits dob building permits

6k68-kc8u Sidewalk Cafes   location_1 entity_name entity_type license_number camis_phone_number camis_trade_name address_zip_code sidewalk_cafe_type street_address address_street_name lic_area_sq_ft  restaurant license café food meal sidewalk consumer affairs dca

2zez-gixy Public Pay Telephone Wifi Metrics   users sessions year mb_sent month mb_received system_id location provider minutes  payphone wifi usage ppt public pay telephone hotspot

jfzu-yy6n Oil Boilers - Detailed Fuel Consumption and Building Data Connection_failed  energy power environment planning construction housing property

sper-c9ks NYC Landmarks   non_bldg objectid desig_addr lm_type shape other_name house_numb borough desig_date bbl boundaries count_bldg lot status street_nam lp_number public_hea hist_distr lm_name secnd_bldg vacant_lot notes block bin_number  geographic location map cartography historic landmark preservation preserve conservation conserve interior scenic building district

xenu-5qjw NYC Street Activities Calendar   spatiallocation isrecurring eventdescription acronym eventsetupstartdate eventname location eventenddate eventbreakdownenddate eventtypedescription borough eventstartdate  block parties street festivals events

e98g-f8hy Property Data (Buildings Information System)   permit_experation_date permit_sequence_number permit_application_document_number permit_subtype permit_status_date permit_application_job_number permit_issuance_date permit_bin permit_status_description permit_application_job_type permit_type  property building jurisdiction

6bic-qvek Zip code breakdowns   count_ethnicity_unknown percent_gender_total count_permanent_resident_alien count_black_non_hispanic percent_public_assistance_total count_receives_public_assistance count_nreceives_public_assistance percent_permanent_resident_alien count_public_assistance_unknown percent_public_assistance_unknown count_other_citizen_status percent_white_non_hispanic percent_gender_unknown count_ethnicity_total percent_pacific_islander count_gender_total count_white_non_hispanic count_citizen_status_total percent_ethnicity_total percent_black_non_hispanic percent_american_indian count_participants percent_asian_non_hispanic count_gender_unknown percent_ethnicity_unknown count_hispanic_latino percent_male count_female count_us_citizen jurisdiction_name percent_us_citizen percent_female percent_other_ethnicity count_public_assistance_total count_asian_non_hispanic count_male count_american_indian count_other_ethnicity percent_hispanic_latino percent_receives_public_assistance percent_citizen_status_unknown count_pacific_islander percent_other_citizen_status percent_citizen_status_total percent_nreceives_public_assistance count_citizen_status_unknown  boundary district community demography demographic statistic youth development zip code zip code area

nzjr-3966 NYC Civil Service Titles   union_descr descr title jobcode max_rate union_cd barg_descr sffx std_hrs min_rate barg_unit sfx_descr asg_lvl  civil service civil service title

5m6a-enkt Building Complaints   status bin community_board date_entered complaint_number disposition_code complaint_category inspection_date address disposition_date unit  building buildings complaints

b7kx-qikm 2012 NYC Farmers Market List   distribute_health_bucks ebt market_name hours accepts_health_bucks day_s borough stellar street_address  2012 nyc market list dohmh farmers market green food health

kvuc-fg9b Demographic, Social, Economic, and Housing Profiles by Community District/PUMA No_Record  dcp public use micro data sample area census demographics population

5b3a-rs48 NYC Social Media Usage   url platform agency date_sampled  twitter facebook nyc agency organization data

7e9k-sh95 Building Jobs   efiling_filed existingno_of_stories other_description street_name fee_status job_type community_board proposed_height city_state_zip owner_s_house_street job_description proposed_zoning_sqft borough job_number owner_s_phone_number street_frontage job_status total_est_fee existing_zoning_sqft professional_cert house_number owner_s_first_last_name owner_s_business_name special_district_1 other lot applicant_professional_title pre_filing_date latest_action_date applicant_license_number existing_height proposed_no_of_stories doc_number zoning_dist1 enlargement_sq_footage site_fill applicant_s_first_last_name job_status_descrp initial_cost building_type existing_occupancy proposed_occupancy block bin_number  building buildings jobs

e6n3-m3vc Street Tree Census (Manhattan)   buildingnu diameter objectid_1 objectid parity treelocati crossstree treecondit site zipcode treeid shape crossstr_1 fid_1 treepit commdist borough species onstreet buildingst  park parks nature recreation tree census arbor geographic manhattan

dhry-6nsv Map of Electricity Consumption by ZIP Code - 2010   building_type_service_class_ consumption_kwh_ utility_data_source consumption_gj_ zip_code  electricity energy environment planning power utilities

pewt-uj9f Zip Code Boundaries Connection_failed  doitt gis geographic location map cartography zip code zip code boundary

kx9w-bns7 2009 Popular Birth Names (Male)   count child_first_name year_of_birth rank gender  popular names name health males boys

xbtj-c7ca NYC Parking Facilities   entity_name license_number telephone_number facility_type address_zip_code number_of_spaces address  parking facilities car automobile

98ts-2itz Sidewalk Features Connection_failed  geographic location map cartography sidewalk doitt gis

sw33-t3vk 2012 NYC Noise Complaints - Heat Map Connection_failed  311 311 service requests 2010 2011 service request status all service requests

ty8z-v9d2 DYCD Literacy   city objectid service url zipcode servicesof shape divisionna address id phonenumbe  geographic location map cartography basemap literacy youth

hc8x-tcnd FDNY Firehouse Listing   borough facilityname facilityaddress  fire department fdny fd fires community board station fire station fire house emergency 911

9auy-76zt Landcover Raster Data (2010) No_Record  landcover tree canopy grass water buildings roads paved raster

g3vh-kbnw School District Breakdowns   count_ethnicity_unknown percent_gender_total count_permanent_resident_alien count_black_non_hispanic percent_public_assistance_total count_receives_public_assistance count_nreceives_public_assistance percent_permanent_resident_alien count_public_assistance_unknown percent_public_assistance_unknown count_other_citizen_status percent_white_non_hispanic percent_gender_unknown count_ethnicity_total count_pacific_islander count_gender_total count_white_non_hispanic count_citizen_status_total percent_ethnicity_total percent_black_non_hispanic percent_american_indian count_participants percent_asian_non_hispanic count_gender_unknown percent_ethnicity_unknown count_hispanic_latino percent_male count_female count_us_citizen jurisdiction_name percent_us_citizen percent_female percent_other_ethnicity count_public_assistance_total count_asian_non_hispanic count_male count_american_indian count_other_ethnicity percent_hispanic_latino percent_receives_public_assistance percent_citizen_status_unknown percent_other_citizen_status percent_citizen_status_total percent_nreceives_public_assistance count_citizen_status_unknown  boundary district community demography demographic statistic youth development neighborhood school education

t9k3-tbwy Elevation No_Record  doitt gis

arq3-7z49 Subway Stations   shape url line name objectid  location map cartography basemap transit transportation train subway travel entrance station transfer

uady-p6yt Map View   location_1 entity_name entity_type license_number telephone_number address_zip_code address_street_name street_address  laundry license laundromat clothing washing cleaning clothes consumer affairs dca

fuvx-wqd7 2011-2012 NYC Family Guides   family_guide_name link language  doe famil guide program language url info education school

2b6x-2bw6 Local Law 48 Of 2011 Report   factory_floor_area council_district yearalter2 office_floor_area storage_floor_area healtharea total_area census_tract major_use boro lot_type_code zonedist1 healthctr bldgfront retail_floor_area map_atlas proximity_code garage_floor_area number_structures parcel_name irrlotcode zipcode coordinates other_floor_area contact bldgdepth current_uses spdist1 lotfront allowable_building_to_floor_area edc_occupied exemptland bsmtcode number_of_easements census_block assessland community_district lotdepth structure_completed lot total_gross_area_structures open_petroleum_spill schooldist residential_floor_area land_use_category condominium_number residential_units yearalter1 ratio_building_to_floor_area zonedist2 policeprct numfloors agency firecomp exempttot residential_and_non_residential_units landmark address commercial_floor_area block  local law 48 local law 2011 dcas administrative services nyc government citywide services city council council data spreadsheet excel xls xlsx city city property

m8ew-ikp5 Birth Rate by Mother's Age   mother_s_age_yr_  birth rate mother age labor baby data health

zpua-wef3 Transportation Structures   shape_length shape_area name objectid shape feature_code sub_feature_code source_id  doitt gis planimetric basemap polygon layer containing transportation structures such as bridges tunnels and overpasses.

rgy2-tti8 Property Valuation and Assessment Data No_Record  finance property tax value valuation assess assessment condense condensed roll

bquu-z2ht NYC Service: Volunteer Opportunities   last_modified_date recurrence_type end_date_date event_time locality org_title start_date_date status org_content_id addresses_count vol_requests hours postalcode opportunity_id hits category_id display_url region title summary created_date content_id category_desc  volunteering volunteers volunteer opportunities events volunteer organizations

qckm-4amv Elevation points Connection_failed  geographic location map cartography basemap elevation height high place places

dtiu-hq3j Google map view of 311 reports Connection_failed  311 311 service requests 2010 2011 service request status all service requests

ztcw-bzc8 Street Tree Census (Brooklyn)   buildingnu diameter objectid_1 objectid parity treelocati crossstree treecondit site zipcode treeid shape crossstr_1 fid_1 treepit commdist borough species onstreet buildingst  park parks nature recreation tree census arbor geographic brooklyn

hdr6-7r95 Map of Monuments   omp_propid objectid shape name311 gis_propnu name  map location cartography site art public permanent culture history historical monument sculpture statue

xszr-btpb Electronics Stores   address_city entity_name entity_type license_number telephone_number address_zip_code address_street_name location address_state address_bldg  retail sale sell license store electronics consumer affairs dca

mbd7-jfnc DYCD after-school programs   program_type contact_number site_name borough_community agency program grade_level_age_group  education services youth community development school child children

2zzj-3hqt Laundromats   location_1 entity_name entity_type license_number telephone_number address_zip_code address_street_name street_address  laundry license laundromat clothing washing cleaning clothes consumer affairs dca

sat5-adpb Museums and Galleries   city tel name zip url address2 shape objectid adress1  museums galleries art culture museo doitt gis

dqkt-8x6u School Zones 2011-2012 No_Record  department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning maps

jfju-ynrr School Point Locations No_Record  department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning

pq6r-ezsn 2009 Popular Birth Names (Female)   count child_first_name year_of_birth rank gender  names women female popular health girls

d4dh-78mx Historic district maps   perimeter shape_length shape_area name extension area designated shape objectid shape_leng shape_le_1 borough lp_number  geographic location map cartography historic district history landmark preservation preserve

cw88-qpsr Lower Manhattan Retailers   cnbio_org_name block_lot cnadrprf_city cnadrprf_state primary cnadrprf_addrline1 cnadrprf_addrline2 secondary  manhattan downtown retail block lot vendor sale sell community

vvj6-d5qx 2010 & 2011 NYC Municipal Building Energy Benchmarking Results   building city source_energy_intensity_kbtu_sq_ft year_built zip rating_2 rating agency gross_sq_ft total_ghg_emissions_mtco2e state current_source_energy_intensity_kbtu_sq_ft lot current_total_ghg_emissions_mtco2e bin address borough block  2011 2010 nyc 2010 nyc municipal building energy benchmarking results benchmark energy energy intensity emissions municipal building block lot 2010 & 2011 nyc municipal building energy benchmarking results

h95y-z9u2 Street name Dictionary No_Record  dcp street street name street code dictionary snd geographic intersection

jufi-gzgp NYS Math Test Results By Grade 2006-2011 - School Level - All Students   level_3_4_2 category level_2_1 level_2_2 level_1_2 level_1_1 level_3_1 mean_scale_score grade level_4_1 year dbn number_tested level_3_2 level_4_2 level_3_4_1 

brrx-dg4s Yellow Medallion Taxicabs - Drivers No_Record  business taxi vehicle transportation license

mw4z-r6bv Property Address Directory No_Record  dcp pad property address directory lot tax lot building city planning planning block

uedp-fegm Natural Gas Consumption by ZIP Code - 2010   building_type_service_class utility_data_source _consumption_gj_ _consumption_therms_ zip_code  energy gas power environment utilities planning

g8fi-we5z Yellow Medallion Taxicabs - Vehicles No_Record  business taxi vehicle transportation license

3rfa-3xsf 311 Service Requests 2009 Connection_failed  311 311 service requests 2009 all service requests

3q43-55fe Rat Sightings Connection_failed  311 311 service requests 2010 2011 2012 service request status all service requests

pxag-5eb2 Community Health Survey (GIS data) 2003_2008   insure5 womens2 oid_ uhf34_code objectid quitsk2 shshom2 exercs2 shape fobtst2 wkwork3 overwt2 shswks2 cotest2 shape_length borough objectid_1 manman2 pcarep2 area diabet2 uhf_name rdrink2 anystd2 sickad6 flusht2 sexnum4 needca2 rcdks22 genhlt4 cigars2 hivtwo2 obeses2 rsmoke3 len evisit4 asthma2 mhdday4 cocksr2 condom2 shape_area shsmok2 pneumv2 nofill2 neighbor nspday4 obs smismi2  health safety geographic map cartography public community neighborhood location hospital fund boundary boundaries status statistics care

9ihd-38yr Street Centerline   shape_length name objectid number_travel_lanes shape number_park_lanes number_total_lanes width feature_code sub_feature_code source_id  geographic location map cartography transportation street center centerline road alley path

avir-tzek Graduation Outcomes - Classes Of 2005-2010 By Borough   total_grads_of_cohort total_cohort dropped_out_n borough cohort regents_w_o_advanced_of_cohort total_regents_of_grads demographic still_enrolled_of_cohort advanced_regents_of_cohort total_regents_n total_grads_n still_enrolled_n advanced_regents_n dropped_out_of_cohort total_regents_of_cohort local_of_grads regents_w_o_advanced_n advanced_regents_of_grads regents_w_o_advanced_of_grads local_n local_of_cohort 

nzvw-cjc2 DOF: Building Classification Codes No_Record 

f7b6-v6v3 New York City Health and Hospitals Corporation (HHC) : Facilities   phone facility_name borough location_1 facility_type  facility facilities health patient healthcare healthcare provider hospital medicare medicaid

v9md-y9hm 311-Public Payphone Complaints   y_coordinate_state_plane_ school_region unique_key street_name community_board school_number borough city incident_zip agency facility_type school_state school_phone_number location latitude x_coordinate_state_plane_ address_type status due_date school_address school_not_found school_name school_city agency_name park_borough school_code cross_street_1 location_type cross_street_2 longitude complaint_type descriptor created_date school_zip incident_address park_facility_name  311 311 service requests 2010 2011 2012 service request status all service requests

tzvj-yhh2 911 Receiving Hospitals No_Record  map location cartography emergency oem hospital patient ambulance dispatch ems 911 physician doctor nurse specialist intensive care icu er injured injury sick health public safety hospitals

qpbf-g2yx Bicycle Parking No_Record 

xh5f-79hn Street Centerline No_Record  doitt gis

n6ct-9993 Path Station Locations   shape name objectid  doitt gis geographic location map cartography transportation nj new jersey train station path transport transit traffic

s22f-jsd4 Current Medallion Drivers Connection_failed  tlc taxi medallion cab license driver

vht3-hkt5 alternate side parking signs Connection_failed  parking sign regulation car automobile traffic traffic sign travel status signage street curb

gydf-ksfn Pavement Edge No_Record  doitt gis

uvks-tn5n DYCD  after-school programs: Out Of School Time   program_type contact_number location_1 site_name borough_community agency program grade_level_age_group  education services youth community development school child children time

j435-cfaf CityMap   status shape_length shape_area omppropid objectid organizati gispropnum jurisdicti acres shape location signname mapped waterfront precinct borough type  park parks nature recreation location map cartography geographic

cu9u-3r5e Demographic, Social, Economic, and Housing Profiles by Borough No_Record  dcp demographic social economic and housing profiles by borough

uzc3-h498 Borough Boundaries Connection_failed  borough boundaries data water areas dcp

kh2m-kcyz Times Square Food & Beverage Locations   website phone company_name subindustry  times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism

urmm-7q9v Lower Manhattan Parking Garages   entity_name license_number telephone_number facility_type address_zip_code number_of_spaces address  parking facilities car automobile

gaq9-z3hz Recycling Diversion and Capture Rates   _zone month_name district diversion_rate_total_total_recycling_total_waste_ capture_rate_paper_total_paper_max_paper_ fiscal_year capture_rate_total_total_recycling_leaves_recycling_max_paper_max_mgp_x100 capture_rate_mgp_total_mgp_max_mgp_ fiscal_month_number report_version  sanitation dsny refuse recycle recycling plastic metal paper community community district tonnage capture diversion

ym2h-u9dt Brooklyn Public Library Catalog   call_biblio_ standard_ pub_info title  library catalog catalogue brooklyn book author title edition publisher

cewg-5fre 311 HPD Complaints Connection_failed  311 311 service requests 2010 2011 service request status all service requests

axfu-tjyt Parking Facilities   location_1 entity_name license_number telephone_number facility_type address_zip_code number_of_spaces address_street_name camis_trade_name street_address  parking license parking lot lot park

gysc-yn4h NYC City Hall Library Catalog   corporate_name_subordinate_unit_title_remainder_of_title_remainder_of_title_page_date_of_publication_geographic_name_general_subdivision  library catalog catalogue report study studies depository records publication

86sd-4yhi Greenthumb Connection_failed  doitt gis geographic location map cartography basemap green thumb greenthumb garden grow community

u3bu-v2bf Top Ten Elevator Offenders Connection_failed  dob department of buildings buildings disciplinary actions electrician plumber master plumber architect engineer surrender of privileges elevator offender 2010 2011

hyhm-d6af nyc_wifi_hotspot_1   city name zip url phone shape address type id  geographic location map cartography services wifi wireless hot spot access telecommunication

pgjy-zpbp Manhattan Parks   status shape_length shape_area omppropid objectid organizati gispropnum jurisdicti acres shape location signname mapped waterfront precinct borough type  park parks nature recreation location map cartography geographic

regf-xr9m Contours Lines (2 foot) No_Record 

dhu2-kitw Employment Opportunities No_Record 

mzbd-kucq Areas of Interest GIS   annoline4 annoline3 name annoline1 angle objectid_1 annoline2a shape objectid stacked borough id  areas of interest gis dcp geographic location map cartography neighborhood historic scenic interest area of interest areas of interest

dv6z-emb2 Times Square pedestrian counts No_Record  times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism

8792-ebcp Directory of Eateries No_Record  dpr directory eateries directory of eateries parks food snacks

n8p9-7jxp 2013 Campaign Contributions   c_code boroughcd purposecd strname committee intempstnm rr_ind intoccupa occupation apartment schedule sequenceno candfirst intstrno intstrnm canclass int_c_code empname intst intermname candmi candid empstrname candlast seg_ind intaptno intempst name pageno intempname intempcity refno exemptcd  finance campaign finance board cfb nyccfb campaign finance elections contributions politics campaign funding

chv4-k4fa DYCD after-school programs: Neighborhood Development Area (NDA) Family Support   program_type contact_number location_1 site_name borough_community agency program grade_level_age_group  education services youth community development community development school child children after-school after-school programs programs employment internships job jobs internship young adult youth employment nda neighborhood neighborhood development area reading writing family family literacy immigration immigrants adolescent literacy family support senior domestic violence high-school high school healthstat health stat housing legal assistance middle school refugee

gj26-gpjk NYC Truck Routes (Local and Thru maps) No_Record  truck transport transit route local through delivery deliver transportation network map cartography intersection street travel driver signage weight limit dimension overweight over dimension violation resource

d993-iye3 Electricity_Heatmap   building_type_service_class_ consumption_kwh_ utility_data_source consumption_gj_ zip_code  electricity energy environment planning power utilities

448k-492a Roadbed Connection_failed  doitt gis geographic location map cartography transportation roadbed road

kn7k-w2p6 TLC Black Car Bases Connection_failed  transportation taxi limousine black car car base

w6wk-iue5 Electric Consumption by ZIP Code - 2010   building_type_service_class_ consumption_kwh_ utility_data_source consumption_gj_ zip_code  electricity energy environment planning power utilities

w3wp-dpdi Calendar of Special Events No_Record  calendar of special events dpr

x6gf-qdui Alternate Side Parking No_Record 

zygq-45iu Business Improvement District Boundaries   shape_length shape_area name objectid area url shape  geographic location map cartography property business economic boundary improvement district doitt gis

uzf5-f8n2 Annualized Rolling Sales Update No_Record  department of finance finance dof money 2003 2004 2005 2006 2007 2008 2009

hve5-8z68 Inmate Stabbing. Slashing Incidents   number_of_incidents fiscal_year  corrections jail prison inmate facility rikers population arrest

stsg-hr2m Roadbed No_Record  doitt gis

m3fi-rt3k New York City Council Discretionary Funding (2009-2013)   status legal_name purpose_of_funds location_1 street_address_1 agency council_member fiscal_year source amount zip_code ein  new york city council discretionary funding (2009-2013) finance data contribution council

w9cy-nnma DYCD after-school programs: Reading And Writing Literacy Programs   program_type contact_number location_1 site_name borough_community agency program grade_level_age_group  education services youth community development community development school child children after-school after-school programs programs young adult civics literacy esol esl english as a second language english language program adult literacy adolescent literacy family literacy english for speakers of other languages immigrant rights learning

b8ak-guj9 Map View   location_1 entity_name entity_type license_number camis_phone_number camis_trade_name address_zip_code sidewalk_cafe_type street_address address_street_name lic_area_sq_ft  restaurant license café food meal sidewalk consumer affairs dca

733r-da8r Cultural Institutions by block and lot   organization_name preferred_block_lot_number preferred_address_line_1 constituency_code constituent_specific_attributes_r_secondary_type_description  block lot culture cultural art history dance dancing performance historical museum gallery museo institution theater theatre sculpture statue drawing painting

ut9y-2ptp DYCD after-school programs: NDA Educational High School Progams   program_type contact_number location_1 site_name borough_community agency program grade_level_age_group  education services youth community development community development school child children after-school nda neighborhood development area neighborhood high school

pqg4-dm6b NYC Women's Resource Network Database   employment_job_training organizationname domestic_violence child_care_parent_information arts_culture education nourl youth_services aging new_york_city_agency housing is_registered_with_the_attorney_general_s_office professional_association health homelessness manhattan foundation fax outsideloc description business counseling_support_groups staten_island published lesbian_gay_bisexual_and_or_transgender immigration victim_services phone brooklyn personal_finance_financial_education none_of_the_above queens community_service_volunteerism url disabilities other_government_organization legal_services anti_discrimination_human_rights veterans_military_families bronx nonprofit faith_based_organization  women woman family families resource network

avwq-z233 Current Medallions   medallion_agent_number model_year driver_of_record_status dmv_license_plate license_number vin type_of_medallions_ind_or_minifleet hybrid_accessible_cng_or_stretch_limousine_vehicle name_of_licensee license_type  transportation taxi limousine medallion

ccdu-ah35 Museums and galleries No_Record  nycgo museum gallery

b937-zdky Directory of Basketball Courts No_Record  directory of basketball courts dpr basketball parks

3mjw-nwyf Hydrography (Water Features)   shape_length shape_area objectid feature_code shape sub_feature_code source_id  geographic location map cartography hydrography water feature

u9za-vtg3 Map of Basketball Courts   shape_length shape_area objectid area len subtype shape parknumber  park parks nature recreation location map cartography basketball court sports ball game geographic

iux8-53rc Medallion Drivers   license_type license_number name_of_licensee license_expiration_date  transportation taxi limousine medallion drive driver

7vcw-nwnp 2009 birth names (Female Black Non Hispanic)   count gender rank child_first_name year_of_birth ethnicity  health popular names black african-american non hispanic 2009 female

t7sx-id53 Public Pay Telephone Locations No_Record  public pay telephones ppt payphones reinvent payphones

79z8-9mcf MINY Vendors   website cameraicon housenum objectid zip city address2 bcode shape id state contact streetname address telephone contactema borough vendorname category  doitt gis location map cartography basemap miny vendor made in ny incentive program incentive program development economic economy

z5wg-znse Awarded Construction Contracts No_Record  contract construction award

