9ear-7rrm	311 SRs - HPD	 311 311 service requests 2010 2011 2012 service request status all service requests clean web
evab-kfr4	311 Service Requests Summed by Created Date	 311 311 service requests 2010 2011 2012 service request status all service requests
vtni-mpgy	test yearly aggregate	 311 311 service requests 2010 2011 2012 service request status all service requests
jxdc-hnze	Times Square Entertainment Venues	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
ewtv-wftx	DSNY: Collection Tonnages	 sanitation dsny refuse recycle recycling plastic metal paper community community district tonnage clean web
ymhw-9cz9	NYC Health and Hospitals Corporation Facilities	 facility facilities health patient healthcare healthcare provider hospital medicare medicaid healthy living
swqh-s9ee	Map of Bathrooms	 map location cartography site bath bathroom wash washroom head look urinal urine relief station
vcc8-bbkp	NYC Parking Facilities Map	 parking facilities car automobile
mreg-rk5p	NYC Public High School Program Data	 doe programs nyc data lifelong learning
7z8d-msnt	School Attendance and Enrollment Statistics by District (2010-11)	 doe education schools attendance enrollment district absent school district lifelong learning
tj4w-skrs	Building Permits	 building buildings permit permits dob building permits clean web
zibd-yb3i	Parking Regulation Sign Locations	 parking sign regulation car automobile traffic traffic sign travel status signage street curb clean web
n5mv-nfpy	IPIS (Integrated Property Information System)	 property finance lease agency city-owned private consumer affairs dcas administrative services ipis (integrated property information system) ipis
yts9-kmw9	NYPD Public Indicators	 mayor's office of operations operations ops public safety public safety cpr crime nypd police cop cops precinct new york
kcrm-j9hh	Museums and galleries	 new york nycgo new york & company new york & co. co. museum museums gallery galleries xml data nyc the city
6ej9-7qyi	After-School Programs	 jobs and economic mobility education school services geographic location map cartography after school after-school program doitt gis
6k68-kc8u	Sidewalk Cafes	 restaurant license café food meal sidewalk consumer affairs dca
99bc-9p23	Neighborhood Names GIS	 geographic location map cartography neighborhood historic scenic interest area of interest areas of interest dcp city planning neighborhood names gis
26dn-w9sw	Green Market Locations	 doitt gis geographic location map cartography business green market grocer food sale sell
fum3-ejky	Privately Owned Public Spaces	 zoning database public space zone incentive private dcp privately owned public spaces
ivix-m77e	Federal Stimulus Data	 jobs and economic mobility operations ops federal stimulus stimulus funding stimulus money mayor's office of operations
2zez-gixy	Public Pay Telephone Wifi Metrics	 payphone wifi usage ppt public pay telephone hotspot
xenu-5qjw	NYC Street Activities Calendar	 block parties street festivals events
jfzu-yy6n	Oil Boilers - Detailed Fuel Consumption and Building Data	 energy power environment planning construction housing property
sper-c9ks	NYC Landmarks	 geographic location map cartography historic landmark preservation preserve conservation conserve interior scenic building district
e98g-f8hy	Property Data (Buildings Information System)	 property building jurisdiction clean web
5m6a-enkt	Building Complaints	 building buildings complaints clean web
nzjr-3966	NYC Civil Service Titles	 civil service civil service title
b7kx-qikm	2012 NYC Farmers Market List	 2012 nyc market list dohmh farmers market green food health healthy living
6bic-qvek	Zip code breakdowns	 boundary district community demography demographic statistic youth development zip code zip code area lifelong learning
pewt-uj9f	Zip Code Boundaries	 doitt gis geographic location map cartography zip code zip code boundary
7e9k-sh95	Building Jobs	 building buildings jobs
e6n3-m3vc	Street Tree Census (Manhattan)	 dpr park parks nature recreation tree census arbor geographic manhattan healthy living
5b3a-rs48	NYC Social Media Usage	 twitter facebook nyc agency organization data
dhry-6nsv	Map of Electricity Consumption by ZIP Code - 2010	 electricity energy environment planning power utilities
kvuc-fg9b	Demographic, Social, Economic, and Housing Profiles by Community District/PUMA	 jobs and economic mobility dcp public use micro data sample area census demographics population
hc8x-tcnd	FDNY Firehouse Listing	 fire department fdny fd fires community board station fire station fire house emergency 911
kx9w-bns7	2009 Popular Birth Names (Male)	 popular names name health males boys
9auy-76zt	Landcover Raster Data (2010)	 dpr landcover tree canopy grass water buildings roads paved raster healthy living
98ts-2itz	Sidewalk Features	 geographic location map cartography sidewalk doitt gis
t9k3-tbwy	Elevation	 doitt gis
xbtj-c7ca	NYC Parking Facilities	 parking facilities car automobile
3q43-55fe	Rat Sightings	 311 311 service requests 2010 2011 2012 service request status all service requests
ty8z-v9d2	DYCD Literacy	 geographic location map cartography basemap literacy youth
g3vh-kbnw	School District Breakdowns	 boundary district community demography demographic statistic youth development neighborhood school education lifelong learning
dtiu-hq3j	Google map view of 311 reports	 311 311 service requests 2010 2011 service request status all service requests
arq3-7z49	Subway Stations	 location map cartography basemap transit transportation train subway travel entrance station transfer
m8ew-ikp5	Birth Rate by Mother's Age	 birth rate mother age labor baby data health healthy living
zpua-wef3	Transportation Structures	 doitt gis planimetric basemap polygon layer containing transportation structures such as bridges tunnels and overpasses.
rgy2-tti8	Property Valuation and Assessment Data	 finance property tax value valuation assess assessment condense condensed roll
uady-p6yt	Map View	 laundry license laundromat clothing washing cleaning clothes consumer affairs dca
2b6x-2bw6	Local Law 48 Of 2011 Report	 local law 48 local law 2011 dcas administrative services nyc government citywide services city council council data spreadsheet excel xls xlsx city city property
fuvx-wqd7	2011-2012 NYC Family Guides	 doe famil guide program language url info education school lifelong learning
qckm-4amv	Elevation points	 geographic location map cartography basemap elevation height high place places
jfju-ynrr	School Point Locations	 department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning lifelong learning
bquu-z2ht	NYC Service: Volunteer Opportunities	 jobs and economic mobility volunteering volunteers volunteer opportunities events volunteer organizations lifelong learning
ztcw-bzc8	Street Tree Census (Brooklyn)	 dpr park parks nature recreation tree census arbor geographic brooklyn healthy living
s22f-jsd4	Current Medallion Drivers	 tlc taxi medallion cab license driver
h95y-z9u2	Street name Dictionary	 dcp street street name street code dictionary snd geographic intersection
hdr6-7r95	Map of Monuments	 map location cartography site art public permanent culture history historical monument sculpture statue healthy living
mbd7-jfnc	DYCD after-school programs	 jobs and economic mobility education services youth community development school child children lifelong learning
vvj6-d5qx	2010 & 2011 NYC Municipal Building Energy Benchmarking Results	 2011 2010 nyc 2010 nyc municipal building energy benchmarking results benchmark energy energy intensity emissions municipal building block lot 2010 & 2011 nyc municipal building energy benchmarking results
sat5-adpb	Museums and Galleries	 museums galleries art culture museo doitt gis
mw4z-r6bv	Property Address Directory	 dcp pad property address directory lot tax lot building city planning planning block
xszr-btpb	Electronics Stores	 retail sale sell license store electronics consumer affairs dca
2zzj-3hqt	Laundromats	 laundry license laundromat clothing washing cleaning clothes consumer affairs dca
jufi-gzgp	NYS Math Test Results By Grade 2006-2011 - School Level - All Students	 lifelong learning
d4dh-78mx	Historic district maps	 geographic location map cartography historic district history landmark preservation preserve
dqkt-8x6u	School Zones 2011-2012	 department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning maps lifelong learning
pq6r-ezsn	2009 Popular Birth Names (Female)	 names women female popular health girls
cw88-qpsr	Lower Manhattan Retailers	 manhattan downtown retail block lot vendor sale sell community
brrx-dg4s	Yellow Medallion Taxicabs - Drivers	 business taxi vehicle transportation license
9ihd-38yr	Street Centerline	 geographic location map cartography transportation street center centerline road alley path
pxag-5eb2	Community Health Survey (GIS data) 2003_2008	 health safety geographic map cartography public community neighborhood location hospital fund boundary boundaries status statistics care healthy living
avir-tzek	Graduation Outcomes - Classes Of 2005-2010 By Borough	 lifelong learning
uedp-fegm	Natural Gas Consumption by ZIP Code - 2010	 energy gas power environment utilities planning
g8fi-we5z	Yellow Medallion Taxicabs - Vehicles	 business taxi vehicle transportation license
n6ct-9993	Path Station Locations	 doitt gis geographic location map cartography transportation nj new jersey train station path transport transit traffic
3rfa-3xsf	311 Service Requests 2009	 311 311 service requests 2009 all service requests
nzvw-cjc2	DOF: Building Classification Codes	null
j435-cfaf	CityMap	 park parks nature recreation location map cartography geographic
urmm-7q9v	Lower Manhattan Parking Garages	 parking facilities car automobile
xh5f-79hn	Street Centerline	 doitt gis
gydf-ksfn	Pavement Edge	 doitt gis
f7b6-v6v3	New York City Health and Hospitals Corporation (HHC) : Facilities	 facility facilities health patient healthcare healthcare provider hospital medicare medicaid healthy living
qpbf-g2yx	Bicycle Parking	 clean web
t7sx-id53	Public Pay Telephone Locations	 public pay telephones ppt payphones reinvent payphones
vht3-hkt5	alternate side parking signs	 parking sign regulation car automobile traffic traffic sign travel status signage street curb
cewg-5fre	311 HPD Complaints	 311 311 service requests 2010 2011 service request status all service requests
uvks-tn5n	DYCD  after-school programs: Out Of School Time	 jobs and economic mobility education services youth community development school child children time lifelong learning
gaq9-z3hz	Recycling Diversion and Capture Rates	 sanitation dsny refuse recycle recycling plastic metal paper community community district tonnage capture diversion clean web
cu9u-3r5e	Demographic, Social, Economic, and Housing Profiles by Borough	 dcp demographic social economic and housing profiles by borough
regf-xr9m	Contours Lines (2 foot)	null
ym2h-u9dt	Brooklyn Public Library Catalog	 library catalog catalogue brooklyn book author title edition publisher
kh2m-kcyz	Times Square Food & Beverage Locations	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
axfu-tjyt	Parking Facilities	 parking license parking lot lot park
m3fi-rt3k	New York City Council Discretionary Funding (2009-2013)	 new york city council discretionary funding (2009-2013) finance data contribution council
d993-iye3	Electricity_Heatmap	 electricity energy environment planning power utilities
gysc-yn4h	NYC City Hall Library Catalog	 library catalog catalogue report study studies depository records publication
pgjy-zpbp	Manhattan Parks	 park parks nature recreation location map cartography geographic
86sd-4yhi	Greenthumb	 doitt gis geographic location map cartography basemap green thumb greenthumb garden grow community
u3bu-v2bf	Top Ten Elevator Offenders	 dob department of buildings buildings disciplinary actions electrician plumber master plumber architect engineer surrender of privileges elevator offender 2010 2011 clean web
q2ni-ztsb	New York City Council Discretionary Funding	 city council schedule c discretionary funding
dv6z-emb2	Times Square pedestrian counts	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
hyhm-d6af	nyc_wifi_hotspot_1	 geographic location map cartography services wifi wireless hot spot access telecommunication
dhu2-kitw	Employment Opportunities	null
kn7k-w2p6	TLC Black Car Bases	 transportation taxi limousine black car car base
mzbd-kucq	Areas of Interest GIS	 areas of interest gis dcp geographic location map cartography neighborhood historic scenic interest area of interest areas of interest
pgc5-qs2b	Bronx 311 DSNY Dirty Sidewalk	 311 311 service requests 2010 2011 2012 service request status all service requests
8792-ebcp	Directory of Eateries	 dpr directory eateries directory of eateries parks food snacks healthy living
n8p9-7jxp	2013 Campaign Contributions	 finance campaign finance board cfb nyccfb campaign finance elections contributions politics campaign funding
stsg-hr2m	Roadbed	 doitt gis
448k-492a	Roadbed	 doitt gis geographic location map cartography transportation roadbed road
w6wk-iue5	Electric Consumption by ZIP Code - 2010	 electricity energy environment planning power utilities
gj26-gpjk	NYC Truck Routes (Local and Thru maps)	 truck transport transit route local through delivery deliver transportation network map cartography intersection street travel driver signage weight limit dimension overweight over dimension violation resource clean web
chv4-k4fa	DYCD after-school programs: Neighborhood Development Area (NDA) Family Support	 jobs and economic mobility education services youth community development community development school child children after-school after-school programs programs employment internships job jobs internship young adult youth employment nda neighborhood neighborhood development area reading writing family family literacy immigration immigrants adolescent literacy family support senior domestic violence high-school high school healthstat health stat housing legal assistance middle school refugee lifelong learning
uzf5-f8n2	Annualized Rolling Sales Update	 department of finance finance dof money 2003 2004 2005 2006 2007 2008 2009
w3wp-dpdi	Calendar of Special Events	 calendar of special events dpr healthy living
iux8-53rc	Medallion Drivers	 transportation taxi limousine medallion drive driver
hve5-8z68	Inmate Stabbing. Slashing Incidents	 corrections jail prison inmate facility rikers population arrest
b8ak-guj9	Map View	 restaurant license café food meal sidewalk consumer affairs dca
x6gf-qdui	Alternate Side Parking	 clean web
7vcw-nwnp	2009 birth names (Female Black Non Hispanic)	 health popular names black african-american non hispanic 2009 female
u9za-vtg3	Map of Basketball Courts	 park parks nature recreation location map cartography basketball court sports ball game geographic healthy living
avwq-z233	Current Medallions	 transportation taxi limousine medallion
733r-da8r	Cultural Institutions by block and lot	 block lot culture cultural art history dance dancing performance historical museum gallery museo institution theater theatre sculpture statue drawing painting
w9cy-nnma	DYCD after-school programs: Reading And Writing Literacy Programs	 jobs and economic mobility education services youth community development community development school child children after-school after-school programs programs young adult civics literacy esol esl english as a second language english language program adult literacy adolescent literacy family literacy english for speakers of other languages immigrant rights learning lifelong learning
3mjw-nwyf	Hydrography (Water Features)	 geographic location map cartography hydrography water feature
pqg4-dm6b	NYC Women's Resource Network Database	 jobs and economic mobility women woman family families resource network
ghse-r5nk	Health and Nutrition Examination Survey Results	 healthy living
ccdu-ah35	Museums and galleries	 nycgo museum gallery
ut9y-2ptp	DYCD after-school programs: NDA Educational High School Progams	 jobs and economic mobility education services youth community development community development school child children after-school nda neighborhood development area neighborhood high school lifelong learning
b937-zdky	Directory of Basketball Courts	 directory of basketball courts dpr basketball parks healthy living
pn37-gtqw	Hydrography	 doitt gis
d3yz-zwvd	Online directory of certified businesses with a detailed profile	null
n5vy-xgsx	Bar Chart	 electricity energy environment planning power utilities
dqv3-x5im	Map of Playgrounds	 park parks nature recreation location map cartography field play playground game children child geographic healthy living
z5wg-znse	Awarded Construction Contracts	 contract construction award
79z8-9mcf	MINY Vendors	 doitt gis location map cartography basemap miny vendor made in ny incentive program incentive program development economic economy
wjju-n5ey	Flood Hazard Zone Areas (Current)	 fema flood plain flood
w7sf-n5ay	NYC Electronic Stores Map	 retail sale sell license store electronics consumer affairs dca
c8vj-e9jc	Vacant Publicly Owned Land	 property finance lease agency city-owned private consumer affairs dcas administrative services
w6ua-xz2g	DCLA Cultural Organizations	 culture gallery art museum museo dance performance painting sculpture
72wx-vdjr	NYCHA PSA (Police Service Areas)	 location map cartography basemap police police service area public safety crime safety
cqds-77ys	Property Valuation and Assessment data Tax Classes 2,3,4	 finance property tax value valuation assess assessment expand expanded roll tax class
dftr-3bf5	Q1 2010 Real Estate Market Indicators	 manhattan downtown real estate land market home house apartment condo
cw8b-zbc3	TLC Vehicle Insurance	 transportation insure insurance vehicle car automobile truck taxi limousine
uuxn-wzxe	NYC Cool Roofs Buildings	 nyc cool roofs buildings dob environment cooling greenhouse gas reflective clean web
vbvy-nght	Percentage of People Residing in a School District Who Receive Public Assistance	 boundary district community demography demographic statistic youth development neighborhood school education
mu44-3ky4	Flood Plain Scenario - Central Range Sea Level Rise (2020/2050/2080)	 flood flood plain central range sea level
3sp3-p8m5	wifi heat map	 geographic location map cartography services wifi wireless hot spot access telecommunication
yfed-z8vw	Open Spaces (Courts, Tracks, Cemetery Outlines)	 geographic location map cartography park open space track court cemetery
i3j2-v52s	Housing Complaints	 311 311 service requests 2010 2011 service request status all service requests
gan3-bsy7	Top 10 Male Names Donut Chart 2009	 popular names name health males boys
y7zg-uumh	Stations in on the D Line	 location map cartography basemap transit transportation train subway travel entrance station
h3qk-ybvt	Energy Efficiency Projects	 department of citywide administrative services energy efficiency projects dcas sustainability planyc retrofit efficient emission ghg energy management energy
s2d8-h5fg	DYCD YAIP (Young Adult Internship Programs)	 geographic location map cartography basemap yaip youth job employ employment young adult intern internship program work
urz7-pzb3	2010-2011 Class Size - School-level detail	 lifelong learning
fjn5-bxwg	NYPD	 311 311 service requests 2010 2011 service request status all service requests
nxab-ch29	NYC Parking Spots	 parking facilities car automobile
zhrf-jnt6	Directory of Temporary Public Art	 directory of temporary public art parks dpr healthy living
n776-dsqy	Medallion Drivers - Active	 taxi taxicab tlc limousine taxi driver medallion taxi license driver
qirg-qbv8	2010 School Survey	 department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning survey lifelong learning
vk33-xg4x	Hydrography Structures (Piers, Seawalls)	 doitt gis geographic location map cartography hydrography water feature hydro structure pier seawall sea
2t9n-8jnw	Senior Center Locations	 jobs and economic mobility doitt gis geographic location map senior senior center aging aged facilities facility cartography services
nadh-kjkc	TLC Community Car Service Bases	 jobs and economic mobility transportation taxi limousine community car vehicle service base
crwx-795d	landmarks, manhattan, individual	 geographic location map cartography historic landmark preservation preserve conservation conserve interior scenic building district
f2de-knvs	Shoreline	 doitt gis
hnxz-kkn5	NYC Urban Tree Canopy Assessment Metrics 2010	 dpr landcover tree canopy grass water buildings roads paved healthy living
9t6p-zyhy	wifi heat map	 geographic location map cartography services wifi wireless hot spot access telecommunication
i8f4-bu5r	Directory of Hiking Trails	 directory of hiking trails dpr parks data healthy living
w3c6-35wg	Community District Breakdowns	 boundary district community demography demographic statistic youth development lifelong learning
w9uz-8epq	FRESH	 dcp geographic location map cartography zone zoning boundary incentive development grocery supermarket promote promotion
gzm9-7ytn	Birth Rate by Mother’s Age, 2007	 birth rate mother age labor baby data health healthy living
3ppb-nu7i	Manhattan Selection	 geographic location map cartography property building perimeter
gs56-euca	Broadway Events Calendar	 tourism entertainment culture media recreation
ujxq-yi5t	NYC_wifi_view_1	 geographic location map cartography services wifi wireless hot spot access telecommunication
eb22-j6t7	Railroad lines	 doitt gis
d9z4-v86m	Waterfront Access Plans	 dcp geographic location map cartography park parkland edge upland water's edge facility facilities water waterfront public accessible paws jurisdiction construction status private zone zoning land use open space site parks recreation
8586-3zfm	Projects in construction	 school construction authority sca capital improvement project current education lifelong learning
29in-6dyn	nypd incidents	 311 311 service requests 2010 2011 service request status all service requests
mnz3-dyi8	NYC School Survey - 2011	 lifelong learning
2pmt-skyq	Steam Consumption by ZIP Code - 2010	 energy environment planning power utilities
uzcy-9puk	311 Service Requests for 2008	 311 311 service requests 2008 all service requests
z3a5-6cx8	Subway Entrances Filter	 location map cartography basemap transit transportation train subway travel entrance station
f9cn-9ff8	Stations on the N Line	 location map cartography basemap transit transportation train subway travel entrance station
sxx4-xhzg	Public Recycling Bins	 public recycling bins environmental sustainability green garbage sanitation dsny bins recycle dispose reduce reuse clean web
vi6e-zw9u	DOB License Fees	 license property building fee clean web
rrzz-u4e8	NYC Clean Heat Data	 clean heat data green environment environmental sustainability oil fuel
9a56-tyfg	Ferry Terminal Locations	 doitt gis geographic location map cartography transportation ferry terminal
wafs-6ym4	DOF Statement of account (Manhattan)	 department of finance finance dof manhattan borough statement of account
p6bh-gqsg	Union Square Partnership (USP) Business List	 union square partnership usp business directory 14th street
qm45-k59d	Birth Rate By Mother's Neighborhood Of Residence, 2007	 birth labor neighborhood 2007 healthy living
xyce-82vd	DCLA Cultural Organization Map	 culture gallery art museum museo dance performance painting sculpture
ur9i-z2td	Hurricane Sandy - DEP and DSNY	 311 311 service requests 2010 2011 2012 service request status all service requests
6rdw-7wk8	Map of Handball Courts	 park parks nature recreation location map cartography handball ball court sports game geographic healthy living
nzdu-c6a8	LPC Landmark Points	 geographic location map cartography basemap landmark points interest points of interest history historical
hh8v-7m7u	Community Health Survey (SAS data)	 healthy living
rwnw-ne5z	City Day Care Center Locations	 jobs and economic mobility doitt gis geographic location map cartography services day care day care center site
pwhj-ikym	Primary Commercial Zoning by lot	 zoning property business geographic location map cartography commerce commercial zone lot pluto 2005 economic development
rtc6-e7ff	FDNY Community Board Incident Count	 fire department fdny fd fires community board station fire station fire house emergency 911
c8wu-fxqw	For-Hire-Vehicle (FHV) Drivers	null
fseq-viud	NYC Budget Expense All Funds	 expense fund budget fiscal finance year agency actual omb plan future
388s-pnvc	Publicly Accessible Waterfront Spaces (PAWS)	 dcp geographic location map cartography water waterfront public accessible paws jurisdiction construction status private zone zoning ulurp land land use
8xfc-r3vh	DOB311	 311 311 service requests 2010 2011 service request status all service requests
s7yj-m732	NYC Department of Education Job Titles	 civil service civil service title education doe
sqcr-6mww	311 Service Requests for 2004	 311 311 service requests 2004 all service requests
kdu2-865w	Theaters	 theater entertainment screen show play cinema movie doitt gis
w29d-wry7	NYC Parks	 park parks nature recreation location map cartography geographic
qqsi-vm9f	Map of Soccer and Football Fields	 park parks nature recreation location map cartography soccer football field sports game geographic healthy living
kzmz-ivhb	DSNY's Refuse and Recycling Disposal Networks	 sanitation services community district refuse paper metal glass plastic recycle recycling clean web
yifd-s2g8	Community Health Survey (GIS data) 2005_2008	 health safety geographic map cartography public community neighborhood location hospital fund boundary boundaries status statistics care healthy living
bfyq-hyfp	Community Health Survey (GIS data) 2007	 health safety geographic map cartography public community neighborhood location hospital fund boundary boundaries status statistics care healthy living
m4pf-wpkz	Trained Medallion Drivers	 tlc medallion taxi driver training trained
ffnc-f3aa	School Progress Reports - All Schools - 2009-10	 lifelong learning
txxa-5nhg	Classical Music	 geographic location map cartography basemap music culture classic classical site historic history doitt gis
iqt6-yy8b	NYC Department of Design and Construction (DDC): Competitive Bids	 contractors bids advertisements competition
v8qe-fx6p	Times Square Hotels	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
jhjm-vsp8	Mayor's Management Report (MMR) values	 mayor's management report (mmr) values mmr stats statistics ops operations data
ieyi-rqsn	Primary Residential Zoning by lot	 zoning property business geographic location map cartography zone pluto 2005 lot residence residential economic development
2ux4-kxx8	2009 birth names (Male and Asian Pacific Islander)	 health names popular data asian pacific islander male
vh2h-md7a	Graduation Outcomes - Classes Of 2005-2010 - School Level	 lifelong learning
fiaa-wgtd	farmersmarket	 block parties street festivals events
ph5g-sr3v	Projected Population 2000-2030 - Summary	 projected population 2000-2030 - summary dcp population 2000 2030
6bzx-emuu	Times Square Signage	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism signage
j2bb-ejds	Railroad Features	 geographic location map cartography transportation rail railroad train subway line
smk3-tmxj	Department of Finance Digital Tax Map	 digital tax map gis finance block lot department of finance dof property
qd3d-cxk2	Directory of Playgrounds	 recreation outdoor children directory of playgrounds playground dpr parks healthy living
dd2n-frg7	Map of Beaches	 park parks nature recreation location map geographic cartography beach healthy living
itfs-ms3e	AP (College Board) 2010 School Level Results	 lifelong learning
j86k-5i43	Times Square Property Data (Commercial and Retail properties)	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
656a-faqy	Grand Street BID Business Directory	 business restaurant shopping art
xtyj-dbry	Shoreline Features	 geographic location map cartography shore shoreline water
heam-nsms	NYC Electronics Stores	 retail sale sell license store electronics consumer affairs dca
mcz2-ynjk	Pavement Edge Lines	 geographic location map cartography parking transportation pavement edge pavement edge walk sidewalk
bfvz-snr7	Parking Lot Features	 geographic location map cartography parking lot
dnc5-ydbk	PPT Complaints	 311 311 service requests 2010 2011 service request status all service requests
ihuv-47uq	M/WBE, LBE, and EBE Certified Business List	null
d4uz-6jaw	Inmate Arrests	 corrections jail prison inmate facility rikers population arrest
p5kt-ips9	All IPIS data	 property finance lease agency city-owned private consumer affairs dcas administrative services
hy4q-igkk	311 Service Requests for 2006	 311 311 service requests 2006 all service requests
zypt-a7kw	LPC Landmark Districts	 geographic location map cartography basemap landmark district interest history historical
j34j-vqvt	FDNY Monthly Response Times	 safety fire health medical response emergency emergencies time
ajxm-kzmj	NYC Greenthumb Community Gardens	 dpr nyc greenthumb community gardens sustainability green market community mayors office healthy living
hc5a-7mvp	elec new	 electricity energy environment planning power utilities
4z5w-uj5w	123	 electricity energy environment planning power utilities
sbfi-ns3g	PCIP Recognition List	 jobs and economic mobility pcip recognition doctor medical practice directory physician healthy living
bbs3-q5us	2009 Campaign Contributions	 finance campaign finance board cfb nyccfb campaign finance elections contributions politics campaign funding
rhe8-mgbb	Medallion  Vehicles - Authorized	 taxi taxicab tlc limousine taxi driver medallion taxi license driver
6eph-59sd	Completed Percent for Art projects with artist information	 cultural culture program fund funding project art percent percent for art artist dcla cultural affairs
69bm-3bc2	Women's Resource Map	 jobs and economic mobility women woman family families resource network
mp5t-n3gy	Google Map - 311 NYPD Traffic Complaints - 2010-Present	 311 311 service requests 2010 2011 service request status all service requests
n246-cev5	Times Square Screens	 times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
vihk-m25f	Weekday Traffic Updates	 transportation traffic update travel weekday clean web
fkh3-qjxr	311 data	 311 311 service requests 2010 2011 service request status all service requests
dvzp-h4k9	DOF: Condominium Comparable Rental Income – Manhattan – FY 2011/2012	 department of finance finance dof rental property condominiums cooperatives residential apartment buildings rental properties manhattan borough
2jq5-qxzu	Map of Pools	 park parks nature recreation location map swim swimming pool cartography sports geographic healthy living
9fg9-grkj	Current Fhv Drivers	 transportation taxi limousine drive driver fhv driving vehicle
pq44-rrf3	arcGIS	 school construction authority sca capital improvement project current education
