9auy-76zt Landcover Raster Data (2010) No_Record  Environmental Sustainability High resolution land cover data set for New York City.  This is the 3ft version of the high-resolution land cover dataset for New York City. Seven land cover classes were mapped: (1) tree canopy, (2) grass/shrub, (3) bare earth, (4) water, (5) buildings, (6) roads, and (7) other paved surfaces.  The minimum mapping unit for the delineation of features was set at 3 square feet. The primary sources used to derive this land cover layer were the 2010 LiDAR and the 2008 4-band orthoimagery.  Ancillary data sources included GIS data (city boundary, building footprints, water, parking lots, roads, railroads, railroad structures, ballfields) provided by New York City (all ancillary datasets except railroads); UVM Spatial Analysis Laboratory manually created railroad polygons from manual interpretation of 2008 4-band orthoimagery.  The tree canopy class was considered current as of 2010; the remaining land-cover classes were considered current as of 2008. Object-Based Image Analysis (OBIA) techniques were employed to extract land cover information using the best available remotely sensed and vector GIS datasets.  OBIA systems work by grouping pixels into meaningful objects based on their spectral and spatial properties, while taking into account boundaries imposed by existing vector datasets.  Within the OBIA environment a rule-based expert system was designed to effectively mimic the process of manual image analysis by incorporating the elements of image interpretation (color/tone, texture, pattern, location, size, and shape) into the classification process.  A series of morphological procedures were employed to insure that the end product is both accurate and cartographically pleasing. More than 35,000 corrections were made to the classification.  Overall accuracy was 96%. This dataset was developed as part of the Urban Tree Canopy (UTC) Assessment for New York City.  As such, it represents a 'top down' mapping perspective in which tree canopy over hanging other features is assigned to the tree canopy class.  At the time of its creation this dataset represents the most detailed and accurate land cover dataset for the area. This project was funded by National Urban and Community Forestry Advisory Council (NUCFAC) and the National Science Fundation (NSF), although it is not specifically endorsed by either agency.  The methods used were developed by the University of Vermont Spatial Analysis Laboratory, in collaboration with the New York City Urban Field Station, with funding from the USDA Forest Service. landcover tree canopy grass water buildings roads paved raster healthy living
t9k3-tbwy Elevation No_Record  Planimetric basemap layer containing elevations doitt gis
rgy2-tti8 Property Valuation and Assessment Data No_Record  Property Property valuation and assessment data (Condensed Assessed Value Roll) finance property tax value valuation assess assessment condense condensed roll
jfju-ynrr School Point Locations No_Record  Education This is an ESRI shape file of school point locations based on the official address.  It includes some additional basic and pertinent information needed to link to other data sources. It also includes some basic school information such as Name, Address, Principal, and Principal’s contact information. department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning lifelong learning
dqkt-8x6u School Zones 2011-2012 No_Record  Education Files in an ESRI Geodatabase format.  They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M) department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning maps lifelong learning
h95y-z9u2 Street name Dictionary No_Record  Transportation The Street Name Dictionary (SND) contains street names and street codes for New York City.  Street names (which include names of other geographic features as well) are associated to street codes.  Alias street names and variant spellings are related through a street code hierarchy. dcp street street name street code dictionary snd geographic intersection
mw4z-r6bv Property Address Directory No_Record  Property PAD contains geographic information about NYC&#x27;s tax lots, and the buildings on them. A key component  is a list of geographic identifiers associated with each tax lot. The list includes the buildings the lot contains;  the street addresses and non-addressable street frontages of each of those buildings; all of the street frontages of the lot not associated with buildings; and any Non-Addressable Place Names (NAPs) associated with the lot. dcp pad property address directory lot tax lot building city planning planning block
brrx-dg4s Yellow Medallion Taxicabs - Drivers No_Record  Transportation Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. Medallion Taxicab Drivers face a unique set of requirements in order to be licensed to drive a yellow taxicab. This list includes current yellow medallion driver names, TLC license number, and license expiration date. business taxi vehicle transportation license
g8fi-we5z Yellow Medallion Taxicabs - Vehicles No_Record  Transportation Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. Medallion Taxicab Drivers face a unique set of requirements in order to be licensed to drive a yellow taxicab.   This list includes detailed yellow medallion vehicle information, including driver names, license number, driver record status, DMV license plate, VIN, hybrid or stretch limousine info, model year, type of medallion, and medallion agent number. business taxi vehicle transportation license
xh5f-79hn Street Centerline No_Record  Planimetric basemap layer containing street centerline features doitt gis
nzvw-cjc2 DOF: Building Classification Codes No_Record  Property Department of Finance (DOF) publishes a list of Buidling Classifications, associating Building Codes with Descriptions.  Update Schedule: As needed
gydf-ksfn Pavement Edge No_Record  Planimetric basemap layer containing pavement edge features doitt gis
qpbf-g2yx Bicycle Parking No_Record  Transportation KML Feed displaying bicycle parking racks  Updated Schedule: As required clean web
cu9u-3r5e Demographic, Social, Economic, and Housing Profiles by Borough No_Record  Statistics Selected demographic, social, economic, and housing estimates data citywide and by borough. Three year estimates of population data from the Census Bureau's American Community Survey dcp demographic social economic and housing profiles by borough
t7sx-id53 Public Pay Telephone Locations No_Record  Facilities and Structures This is the payphone location data from January 2013. public pay telephones ppt payphones reinvent payphones
regf-xr9m Contours Lines (2 foot) No_Record  Government Planimetric basemap layer containing 2 foot contour lines for the full City.
dv6z-emb2 Times Square pedestrian counts No_Record  Statistics Statistics on the pedestrian count at various Times Square locations times square alliance times square crossroads crossroads of the world nyc new york city new york manhattan theater food screens pedestrian entertainment tourism
dhu2-kitw Employment Opportunities No_Record  Other List of current jobs at DDC
gj26-gpjk NYC Truck Routes (Local and Thru maps) No_Record  "The New York City Truck Routes represents Local and Through Truck Routes in New York City, created by the New York City Department of Transportation. They feature the City's comprehensive Truck Route Network overlaid on top of the entire arterial street network making it easier for drivers to locate specific streets and intersections, thus providing the best way for trucks to travel around the City. These maps also contain helpful information for drivers, on truck route signage, weight limits and dimensions, overweight/over dimensional permitting and truck related violations as well as City, regional and state truck-related resources." truck transport transit route local through delivery deliver transportation network map cartography intersection street travel driver signage weight limit dimension overweight over dimension violation resource clean web
stsg-hr2m Roadbed No_Record  Planimetric basemap layer containing the roadbed doitt gis
8792-ebcp Directory of Eateries No_Record  Parks and Recreation Eateries in in New York City Department of Parks & Recreation properties including snack bars, food carts, mobile food trucks,  and restaurants. dpr directory eateries directory of eateries parks food snacks healthy living
w3wp-dpdi Calendar of Special Events No_Record  Parks and Recreation Extensive listing of events taking place on New York City Department of Parks & Recreation properties that are open to the public. calendar of special events dpr healthy living
uzf5-f8n2 Annualized Rolling Sales Update No_Record  Property Sale prices of properties in a five borough from 2003-2009.  The files include neighborhood, building type, square footage, and other data. department of finance finance dof money 2003 2004 2005 2006 2007 2008 2009
x6gf-qdui Alternate Side Parking No_Record  Transportation iCalendar (annual) and RSS feeds (daily) of the alternate side parking schedule clean web
pn37-gtqw Hydrography No_Record  Planimetric basemap layer containing hydrography doitt gis
ccdu-ah35 Museums and galleries No_Record  Cultural Affairs NYC and Co. museums and galleries nycgo museum gallery
b937-zdky Directory of Basketball Courts No_Record  Parks and Recreation Basketball Courts in New York City Department of Parks & Recreation properties. directory of basketball courts dpr basketball parks healthy living
ghse-r5nk Health and Nutrition Examination Survey Results No_Record  Health The New York City Health and Nutrition Examination Survey (NYC HANES) is a community-based health survey conducted by the New York City Department of Health and Mental Hygiene. Data was collected from June through December 2004. NYC HANES measured key health indicators in a sample of 1,999 randomly selected NYC adult residents through a detailed health interview and brief physical exam.  NYC HANES is modeled after a similar national survey - the National Health and Nutrition Examination Survey (NHANES).  SAS datasets (along with codebooks, documentation and sample SAS programs to merge datasets and analyze the data) have been provided.  Correct analysis of NYC HANES data requires computer software able to adjust for the survey’s complex design, such as SAS-callable SUDAAN (sample code provided) or survey modules in SAS, STATA or SPSS.    healthy living
z5wg-znse Awarded Construction Contracts No_Record  Construction and Housing Construction contracts recently awarded by DDC. contract construction award
wjju-n5ey Flood Hazard Zone Areas (Current) No_Record  Environmental Sustainability Flood hazard zone areas used in FEMA's Digital Flood Insurance Rate Map. The Digital Flood Insurance Rate Map (DFIRM) shapefile depicts flood risk information and supporting data used to develop the risk data. The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The DFIRM Database is derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data, where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The file is georeferenced to earth's surface using the State Plane projection and coordinate system.The specifications for the horizontal control of DFIRM data files are consistent with those required for mapping at a scale of 1:12,000. fema flood plain flood
mu44-3ky4 Flood Plain Scenario - Central Range Sea Level Rise (2020/2050/2080) No_Record  Environmental Sustainability This file contains 3 sets of shapefiles representing possible Flood Hazard Zone Areas in the 2020's, 2050's, and 2080's, based upon a central range sea level rise scenario. The NYC Office of Long-Term Planning and Sustainability (NYC OLTPS) and the City of New York assume no responsibility for the accuracy of this data or its suitability for any purposes. All users should independently verify the accuracy of the data for their purposes. This data on 1-in-100 year flood zones for New York City with Projected Sea Level Rise was produced by the Institute for Sustainable Cities, City University of New York for an analysis of large geographic areas only. 1.	Methods and Caveat – The projected flood extents included in this data reflect a “bathtub” methodology whereby a flood elevation is extrapolated landward until it reaches the equivalent contour height on land. This approach does not account for cumulative effects of soils, vegetation, surface permeability, bathymetry, infrastructure and beach structures, friction, and other factors that affect the movement of floodwaters resulting in local variations in flooding extent. 2.	Error – Numerous sources of potential error are present in the data. These include limitations of model input and scope (climate and FEMA floodplain models), error inherent in model output, errors in and coarseness of topography, the rounding of base flood elevations to the nearest foot, and in GIS technique. 3.	Interpretation - The floodplains delineated in this data do not represent precise flood boundaries but rather illustrate two distinct areas of interest: A) areas that do not currently flood but are expected to potentially do so in the future and B) areas that do not currently flood and are unlikely to do so in the timeline of this research. flood flood plain central range sea level
zhrf-jnt6 Directory of Temporary Public Art No_Record  Parks and Recreation Current temporary art exhibitions and installations in New York City Department of Parks & Recreation properties. directory of temporary public art parks dpr healthy living
qirg-qbv8 2010 School Survey No_Record  Education 2010 school survey with ratings in categories such as parental academic expectations, teacher academic expectations, student engagement, safety, and other categories department of education education board of ed school schools p.s. jhs is high school junior high school elementary learning survey lifelong learning
f2de-knvs Shoreline No_Record  Planimetric basemap layer containing shorelines doitt gis
hnxz-kkn5 NYC Urban Tree Canopy Assessment Metrics 2010 No_Record  Environmental Sustainability Tree Canopy (TC) Assessment metrics for New York City.  This dataset consists of TC metrics summarized to several different sets of geographic base layers. The metrics presented in this table are based on 2010 high resolution land cover dataset.  The TC Assessment is a top-down approach to analyzing the forest.  Its purpose is to integrate high resolution land cover data with other GIS datasets to produce a set of detailed metrics on the forest that allow decision makers to know how much tree canopy currently exists (termed Existing TC) and amount of land where is it biophysically feasible to establish tree canopy on (termed Possible TC).   Existing TC is determined by extracting all features classified as tree canopy from a high resolution land cover dataset.  Possible TC is determined by identifying land where canopy could possibly exist.  Possible TC in a GIS context is determined by overlaying high resolution land cover with cadastral and planimetric datasets to include building polygons and road polygons.    Possible TC is queried out from this overlay and consists of all land that was not existing canopy, not water, not a building, and not a road.  Possible TC is further divided into two subcategories:  Possible-impervious and Possible-vegetation.  Possible-impervious consists of all impervious land that, through modification, could support tree canopy.  Examples of such features are parking lots, driveways (through overhanging coverage) and playgrounds.  Possible-vegetation consists of all land that is low-lying vegetation, primarily grass or shrubs, which could conceivably be converted to support tree canopy.  Examples of such features include residential lawns and playing fields.  TC metrics do not serve to address the issues of where it is socially desirable or financially feasible to plant trees.  Rather, the TC metrics serve as the basis for beginning to form answers to these questions.     TC metrics are presented in the attribute table as both absolute area (in map units) and relative area (percentage of land area) per parcel.  For example, an Existing TC Area (TC_E_A) value of 13,677 and an Existing TC Percentage (TC_E_P) of 21.8 indicate that for the parcel in question the area of Existing TC is 13,677 (in map units) and 21.8% of that feature is tree canopy.   This assessment was completed by the University of Vermont's Spatial Analysis Laboratory with funding from National Urban and Community Forestry Advisory Council (NUCFAC) and the National Science Fundation (NSF) and in cooperation with the USDA Forest Service's Northern Research Station.  The TC Assessment protocols were developed by the USDA Forest Service's Northern Research Station and the University of Vermont's Spatial Analysis Laboratory in collaboration with the Maryland Department of Natural Resources.  TC assessments have been conducted for numerous communities throughout the U.S. where the results have been instrumental in helping to establishing TC goals. landcover tree canopy grass water buildings roads paved healthy living
gs56-euca Broadway Events Calendar No_Record  Events Broadway Events tourism entertainment culture media recreation
d3yz-zwvd Online directory of certified businesses with a detailed profile No_Record  Business and Economic MWBE Dataset provides a comprehensive list of certified Minority and Women-owned Business Enterprises (M/WBEs), Emerging Business Enterprises (EBEs), and or Locally-based Enterprises (LBEs) throughout the New York City tri-state area. It also provides detailed information on certified companies, including a brief description of their work history and contact information.
i8f4-bu5r Directory of Hiking Trails No_Record  Parks and Recreation Hiking trails in New York City Department of Parks & Recreation properties. directory of hiking trails dpr parks data healthy living
mnz3-dyi8 NYC School Survey - 2011 No_Record  Education Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally.   Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependant on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement.   The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn.   New York City parents, students, and teachers reached new all-time participation highs on the 2011 School Survey. 960,191 surveys were submitted. lifelong learning
eb22-j6t7 Railroad lines No_Record  Planimetric basemap layer containing railroad lines doitt gis
wafs-6ym4 DOF Statement of account (Manhattan) No_Record  Property Name of responsible party, and charges against a property for the period of issuance department of finance finance dof manhattan borough statement of account
c8wu-fxqw For-Hire-Vehicle (FHV) Drivers No_Record  Transportation FHV Drivers are those individuals licensed by the TLC to operate black car, community car service, and luxury limousine vehicles.  This lists information on the current status of FHV Driver Licenses, including TLC License Number, name of licensee, license type and expiration date.
cqds-77ys Property Valuation and Assessment data Tax Classes 2,3,4 No_Record  Property Property valuation and assessment data (Expanded Tax Classes 2,3,4 Assessed Value) finance property tax value valuation assess assessment expand expanded roll tax class
hh8v-7m7u Community Health Survey (SAS data) No_Record  Health The New York City Community Health Survey (CHS) is an annual telephone survey conducted by the Health Department that provides robust data on the health of New Yorkers, including neighborhood, borough and citywide estimates on a broad range of health behaviors, health care access indicator and chronic health conditions.  A SAS dataset (along with a codebook and a SAS program to access and analyze the data) have been provided.  Correct analysis of CHS data requires computer software able to adjust for the survey’s complex design, such as SAS-callable SUDAAN (sample code provided) or survey modules in SAS, STATA or SPSS. healthy living
iqt6-yy8b NYC Department of Design and Construction (DDC): Competitive Bids No_Record  Business and Economic Purpose: Facilitate subscription to bid advertisements posted by DDC Target audience: Contractors Update Schedule: As needed contractors bids advertisements competition
qd3d-cxk2 Directory of Playgrounds No_Record  Parks and Recreation Playgrounds in New York City Department of Parks & Recreation properties. recreation outdoor children directory of playgrounds playground dpr parks healthy living
ihuv-47uq M/WBE, LBE, and EBE Certified Business List No_Record  Business and Economic The City’s certification programs, including the Minority and Women-owned Business Enterprise (M/WBE) Program, the Emerging Business Enterprise (EBE) Program and the Locally-based Business Enterprise (LBE) Program certify, promote, and foster the growth of the City’s minority and women-owned businesses and eligible small construction and construction-related businesses.  Companies that become certified obtain greater access to and information about contracting opportunities, receive technical assistance to better compete for those opportunities, and benefit from inclusion in the City’s Online Directory of Certified Firms.  This list contains detailed information on certified companies, including a brief description of their work history, contact information, and detailed information about what the companies sell.
vihk-m25f Weekday Traffic Updates No_Record  Transportation RSS Feed displaying weekday traffic updates transportation traffic update travel weekday clean web
smk3-tmxj Department of Finance Digital Tax Map No_Record  Property The official tax maps for the City of New York are maintained by the DEPARTMENT OF FINANCE Tax Map Office. Tax maps show the lot lines, the block and lot numbers, the street names, lot dimensions, and easements. digital tax map gis finance block lot department of finance dof property
bvc7-nbpp Coastal Boundaries No_Record  Environmental Sustainability GIS data: The Coastal Zone Boundary defines the geographic scope of New York City's Waterfront Revitalization Program (WRP). Pursuant to federal statute, the boundary encompasses all land and water of direct and significant impact on coastal waters. Federal lands and facilities are excluded from the coastal zone and consistency review in accordance with federal legislation. However, should the federal government dispose of any coastal property, it would be included in the coastal zone. water zoning development shore coast dcp coastal boundaries
ck26-hjgk DOF Statement of account (Brooklyn) No_Record  Property Name of responsible party, and charges against a property for the period of issuance department of finance finance dof brooklyn borough statement of account
qfva-z2r5 Flood Plain Scenario - Rapid Ice Melt (2020/2050/2080) No_Record  Environmental Sustainability This file contains 3 sets of shapefiles representing possible Flood Hazard Zone Areas in the 2020's, 2050's, and 2080's, based upon a rapid ice melt scenario.  The NYC Office of Long-Term Planning and Sustainability (NYC OLTPS) and the City of New York assume no responsibility for the accuracy of this data or its suitability for any purposes.  All users should independently verify the accuracy of the data for their purposes.  This data on 1-in-100 year flood zones for New York City with Projected Sea Level Rise was produced by the Institute for Sustainable Cities, City University of New York for an analysis of large geographic areas only.   1.	Methods and Caveat – The projected flood extents included in this data reflect a “bathtub” methodology whereby a flood elevation is extrapolated landward until it reaches the equivalent contour height on land. This approach does not account for cumulative effects of soils, vegetation, surface permeability, bathymetry, infrastructure and beach structures, friction, and other factors that affect the movement of floodwaters resulting in local variations in flooding extent. 2.	Error – Numerous sources of potential error are present in the data. These include limitations of model input and scope (climate and FEMA floodplain models), error inherent in model output, errors in and coarseness of topography, the rounding of base flood elevations to the nearest foot, and in GIS technique. 3.	Interpretation - The floodplains delineated in this data do not represent precise flood boundaries but rather illustrate two distinct areas of interest: A) areas that do not currently flood but are expected to potentially do so in the future and B) areas that do not currently flood and are unlikely to do so in the timeline of this research. flood flood plain rapid ice melt 2020 2050 2080
g6ie-7v9k Business Improvement Districts (BID) Organization List No_Record  Business and Economic Small Business Services (SBS) oversees and supports New York City's network of 64 Business Improvement Districts (BIDS) - the most comprehensive system of its kind in the country. BIDs are locally based organizations that keep their commercial districts clean and safe, market those districts to consumers, visitors and new businesses, and invest in capital improvements to open opportunities for other economic development initiatives to succeed.
ige5-v6sk LION Differences File No_Record  Business and Economic The LION Differences File (LDF) documents segment and node level changes that have occurred in the LION file between two subsequent releases.  This file allows a user who “ties” organizational data to DCP’s Segment ID and/or Node ID to migrate their data appropriately when these changes occur. node street street name intersection segment lion ldf change
6zff-ymq2 Directory of Recreation Centers No_Record  Parks and Recreation Indoor recreation facilities in New York City Department of Parks & Recreation properties. recreation sports dpr parks rec healthy living
qpsp-bm9z Property Valuation and Assessment data Tax Class No_Record  Property Property valuation and assessment data (Expanded Tax Class 1 Assessed Value) finance property tax value valuation assess assessment expand expanded roll tax class
wm9y-vrt8 Lower Density Growth Management Areas No_Record  Construction and Housing GIS data: A Lower Density Growth Management Area is an area designated in the Zoning Resolution where new developments must provide more off-street parking, larger yards and more open space than would otherwise be required in the applicable zoning districts In Staten Island and Bronx Community District 10. zoning development sustainability environment dcp lower density growth management areas
un72-4nix Directory of Historic Houses No_Record  Parks and Recreation Historic Houses in New York City Department of Parks & Recreation properties. directory of historic houses historic dpr parks healthy living
496p-fwvq DEP Green Infrastructure No_Record  Environmental Sustainability Locations from the NYC Green Infrastructure initiative which presents an alternative approach to improving water quality that integrates “green infrastructure,” such as swales and green roofs, with investments to optimize the existing system and to build targeted, cost-effective “grey” or traditional infrastructure. dep green infrastructure water grey dep cost-effective green roofs healthy living
ipbu-mtcs Directory of Dog Runs  and Off-Leash Areas No_Record  Parks and Recreation Dog runs in New York City Department of Parks & Recreation properties and properties with off-leash hours for dogs. directory of dog runs  and off-leash areas dogs dpr parks healthy living
t9jy-gfev Parks Inspections data No_Record  Facilities and Structures The Parks Inspection Program (PIP) is a comprehensive, outcome-based performance measurement system that generates frequent, random, and detailed inspections of our parks and playgrounds. A team of inspectors conducts nearly 5,000 inspections per year. Each site receives a rating of "Acceptable" or "Unacceptable" based upon the condition of specific park features. accountability transparency safety quality healthy living
fmhd-mfkw Clean Air Survey Content (2009) No_Record  Environmental Sustainability The New York City (NYC) Community Air Survey (NYCCAS) is a study of street level air pollution across NYC neighborhoods. Measurements are taken at 150 locations throughout NYC each season of the year. This downloadable set contains CSV data, metadata, and reports from the survey air clean air clean air survey nyccas pollution healthy living
my58-k6an Green Project Checklist No_Record  Environmental Sustainability The School Construction Authority's rating system for environmentally friendly buildings.  Update Schedule: As required green environment sca school construction authority sustainability lifelong learning
94qw-aaee Selected Facilities and Program Sites: Text No_Record  Property Data providing the location, type, and capacity of public and private community facilities in NYC including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities  and programs. service services property facility facilities community program school park library day care foster care special needs mental health housing selected facilities and program sites: text dcp
i8d5-5ciu Municipal Parking Facilities (Manhattan) No_Record  Transportation RSS Feed displaying municipal parking facilities in Manhattan transportation parking manhattan clean web
sp2p-d4db List of capital projects No_Record  Facilities and Structures Capital projects in New York City Department of Parks & Recreation properties. healthy living
pvq6-utmq Street Tree Census (Staten Island) No_Record  Environmental Sustainability Staten Island street tree census park parks nature recreation tree census arbor geographic staten island greenery healthy living
vnwz-ihnf Sustainability Indicators (2012) No_Record  Environmental Sustainability The sustainability indicators are used by the Mayor's Office of Long-Term Planning and Sustainability to track the progress of the PlaNYC program. planyc sustainability oltps
x57r-az25 Directory of Swimming Pools No_Record  Parks and Recreation Indoor and outdoor pools in New York City Department of Parks & Recreation properties. directory of swimming pools dpr parks recreation healthy living
3dns-zh3x Directory of Running Tracks No_Record  Parks and Recreation Running tracks in New York City Department of Parks & Recreation properties. recreation sports directory of running tracks track field parks jog dpr healthy living
9ixa-eggw Recording Studios No_Record  List of local recording studios music recording studio film voice voiceover voice over sound movie moftb recording studios
ac9y-je94 Directory of Concessions No_Record  Facilities and Structures Approximately 500 concessions currently operate in parks. They generally fall into two categories: food service and recreation. The food service concessions range from pushcarts selling hot dogs and pretzels to full restaurants. Recreational concessions include ice rinks, indoor tennis bubbles, stables, marinas, and much more. business license healthy living
ibjs-7vdf Selected Facilities and Program Sites: Access No_Record  Property Data providing the location, type and capacity of public and private community facilities in NYC including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities  and programs. service services property facility facilities community program school park library day care foster care special needs mental health housing selected facilities and program sites: access dcp
sx4q-k6ay Yellow Medallion Taxicabs - Metershops No_Record  Transportation Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails.  This lists licensed Medallion Taxi Meter Shops, including their license numbers, names, addresses, and phone numbers. business taxi vehicle transportation license
46ga-rg9t Hurricane Evacuation Centers (Consolidated) No_Record  Public Safety This is list of consolidated, operating evacuation centers, following Hurricane Sandy. hurricane evacuation evacuation center shelter
sg2s-hjt6 Adopt-a-Tree Inventory No_Record  Environmental Sustainability This shapefile is the dataset that underlies the MillionTreesNYC Adopt-a-Tree web mapping application at http://stewardship.nycparks.org/ adopt-a-tree tree inventory milliontreesnyc healthy living
xea9-4qn8 Open Space No_Record  Planimetric basemap layer containing open spaces
t4s6-khpm Special Traffic Updates No_Record  Transportation RSS Feed displaying special traffic updates transportation special traffic update update traffic travel clean web
sage-tgxd Directory of Ice Skating Rinks No_Record  Parks and Recreation Ice skating rinks in New York City Department of Parks & Recreation properties. directory of ice skating rinks parks recreation dpr skate healthy living
je66-se2r Open Balance (Manhattan) No_Record  Property Property tax balance and payment information for all active properties department of finance finance dof manhattan borough statement of account
yitc-zzrc Directory of Cricket Fields No_Record  Facilities and Structures Directory of Cricket Fields in NYC Parks. recreation sports healthy living
2hr8-czpv Directory of Nature Centers No_Record  Parks and Recreation Nature Centers in New York City Department of Parks & Recreation properties. dpr recreation sports outdoor education directory of nature centers healthy living
7yhi-h8kc Nature Preserves No_Record  Parks and Recreation DPR directory of nature preserves nature preserves dpr parks preserves healthy living
qjqq-8zh3 Directory of Bocce Courts No_Record  Facilities and Structures Directory of Bocce Courts in NYC Parks. recreation sports healthy living
w7es-2nrk Chancellor of NYC Board of Education, 1970-1989 No_Record  Government The records of the Chancellor of NYC Board of Education, 1970-1989, documenting the work of the chief educational officer of the public school system. library catalog catalogue report record chancellor board education board of education public school public school document 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989
4utk-s8vh Directory of Public Computer Resource Centers No_Record  Parks and Recreation Computer resource centers in New York City Department of Parks & Recreation properties. jobs and economic mobility recreation internet access directory of public computer resource centers dpr healthy living
wjyf-dyq5 Calendar of Library Events: Classes and Performances No_Record  Events The NYPL calendar jobs and economic mobility
p23h-ci72 Greenstreets No_Record  Environmental Sustainability A comprehensive shapefile of all small planted areas defined and maintained as Greenstreets. These are separate and discreet from standard parks, whether on parks property or not. Retired sites are not included. greenstreets healthy living
4szu-rxzq 2012-2013 School Zones No_Record  Education 2012-2013 School Zones (as of July 1, 2012).  Files are in a GIS Shapefile format.  They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M) 2012 2013 2012-2013 school zones doe education board of ed map zone geodatabase student gis school zones lifelong learning
yfnk-k7r4 Community Districts No_Record  Government GIS data: Boundaries of Community Districts community districts gis dcp boundaries
jdcj-chww DOF Statement of account (Queens) No_Record  Property Name of responsible party, and charges against a property for the period of issuance department of finance finance dof queens borough statement of account
dxrt-ximw BPL Events Calendar No_Record  Events A list of cultural and educational events held at Brooklyn Public Library. Update Schedule: As Required jobs and economic mobility
69z8-utpe Recent Requests No_Record  Other All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis. 311 311 service requests 2010 2011 service request status all service requests
5j86-5vbn Yellow Medallion Taxicabs - Brokers No_Record  Transportation Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. This lists licensed Medallion Taxi Brokers, including their license numbers, names, addresses, and phone numbers. business taxi vehicle transportation license
dies-sqgi Directory of Tennis Courts No_Record  Parks and Recreation Tennis courts in New York City Department of Parks & Recreation properties. directory of tennis courts dpr parks recreation healthy living
